"bout_id","video_name","animal_id","start_frame","end_frame","behavior","duration_frames","cluster_id","cluster_method"
118,"org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4",2,384,414,"turn_left",31,3,"hierarchical"
119,"org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4",2,546,565,"turn_left",20,1,"hierarchical"
120,"org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4",2,1399,1409,"turn_left",11,1,"hierarchical"
121,"org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4",2,1536,1555,"turn_left",20,1,"hierarchical"
122,"org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4",2,1573,1583,"turn_left",11,1,"hierarchical"
123,"org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4",2,1637,1657,"turn_left",21,1,"hierarchical"
124,"org-3-uploads-stage.study_410.cage_4482.2025-07-30.05.49.mp4",2,1349,1359,"turn_left",11,1,"hierarchical"
125,"org-3-uploads-stage.study_410.cage_4482.2025-07-30.05.49.mp4",2,1486,1496,"turn_left",11,1,"hierarchical"
126,"org-3-uploads-stage.study_410.cage_4482.2025-07-30.05.49.mp4",2,1539,1559,"turn_left",21,1,"hierarchical"
127,"org-3-uploads-stage.study_410.cage_4481.2025-08-06.12.28.mp4",1,821,832,"turn_left",12,1,"hierarchical"
128,"org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4",0,97,137,"turn_left",41,1,"hierarchical"
129,"org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4",0,1531,1550,"turn_left",20,1,"hierarchical"
130,"org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4",1,559,579,"turn_left",21,1,"hierarchical"
131,"org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4",1,1418,1458,"turn_left",41,1,"hierarchical"
132,"org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4",2,32,45,"turn_left",14,1,"hierarchical"
133,"org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4",2,98,125,"turn_left",28,1,"hierarchical"
134,"org-3-uploads-stage.study_460.cage_4979.2025-09-05.05.54.mp4",0,991,1006,"turn_left",16,1,"hierarchical"
135,"org-3-prod.study_429.cage_4539.2025-08-17.22.36.mp4",0,729,749,"turn_left",21,3,"hierarchical"
136,"org-3-uploads-stage.study_507.cage_5502.2025-10-15.22.32.mp4",0,812,827,"turn_left",16,1,"hierarchical"
137,"org-3-uploads-stage.study_507.cage_5502.2025-10-15.22.32.mp4",0,1640,1680,"turn_left",41,1,"hierarchical"
138,"org-3-uploads-stage.study_410.cage_4484.2025-07-30.14.19.mp4",2,425,445,"turn_left",21,1,"hierarchical"
139,"org-3-uploads-stage.study_410.cage_4484.2025-07-30.14.19.mp4",2,1647,1677,"turn_left",31,1,"hierarchical"
140,"org-3-uploads-stage.study_447.cage_4840.2025-08-16.23.16.mp4",0,261,311,"turn_left",51,1,"hierarchical"
141,"org-3-uploads-stage.study_447.cage_4840.2025-08-16.23.16.mp4",0,1295,1335,"turn_left",41,1,"hierarchical"
142,"org-3-uploads-stage.study_447.cage_4840.2025-08-16.23.16.mp4",0,1410,1420,"turn_left",11,1,"hierarchical"
143,"org-3-uploads-stage.study_450.cage_4891.2025-08-15.10.49.mp4",1,482,502,"turn_left",21,1,"hierarchical"
144,"org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4",0,568,595,"turn_left",28,1,"hierarchical"
145,"org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4",0,1055,1075,"turn_left",21,1,"hierarchical"
146,"org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4",0,1608,1628,"turn_left",21,1,"hierarchical"
147,"org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4",2,1735,1745,"turn_left",11,1,"hierarchical"
148,"org-3-uploads-stage.study_448.cage_4877.2025-08-30.02.22.mp4",2,420,440,"turn_left",21,1,"hierarchical"
150,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,431,451,"turn_left",21,2,"hierarchical"
151,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,455,470,"turn_left",16,1,"hierarchical"
156,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,719,742,"turn_left",24,3,"hierarchical"
157,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,750,765,"turn_left",16,3,"hierarchical"
158,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,769,784,"turn_left",16,3,"hierarchical"
160,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",0,989,1011,"turn_left",23,2,"hierarchical"
161,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",1,1384,1405,"turn_left",22,2,"hierarchical"
164,"org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4",1,1552,1571,"turn_left",20,3,"hierarchical"
166,"org-3-uploads-stage.study_508.cage_5524.2025-10-15.22.36.mp4",0,234,264,"turn_left",31,1,"hierarchical"
167,"org-3-uploads-stage.study_508.cage_5524.2025-10-15.22.36.mp4",0,464,484,"turn_left",21,1,"hierarchical"
168,"org-3-uploads-stage.study_447.cage_4840.2025-08-25.13.01.mp4",2,1708,1725,"turn_left",18,1,"hierarchical"
169,"org-3-uploads-stage.study_431.cage_4555.2025-07-19.04.49.mp4",0,79,118,"turn_left",40,1,"hierarchical"
170,"org-3-uploads-stage.study_431.cage_4555.2025-07-19.04.49.mp4",2,1433,1473,"turn_left",41,1,"hierarchical"
171,"org-3-uploads-stage.study_460.cage_4979.2025-09-05.10.40.mp4",2,1146,1166,"turn_left",21,1,"hierarchical"
172,"org-3-uploads-stage.study_460.cage_4979.2025-09-05.10.40.mp4",2,1216,1236,"turn_left",21,1,"hierarchical"
173,"org-3-uploads-stage.study_410.cage_4483.2025-07-16.13.28.mp4",1,877,890,"turn_left",14,1,"hierarchical"
174,"org-3-uploads-stage.study_410.cage_4483.2025-07-16.13.28.mp4",1,914,930,"turn_left",17,1,"hierarchical"
175,"org-3-uploads-stage.study_410.cage_4483.2025-07-16.13.28.mp4",1,1262,1272,"turn_left",11,1,"hierarchical"
176,"org-9-uploads-stage.study_1013.cage_4988.2025-03-15.08.26.mp4",2,172,192,"turn_left",21,1,"hierarchical"
177,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.00.08.mp4",0,204,234,"turn_left",31,1,"hierarchical"
178,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.00.08.mp4",1,487,507,"turn_left",21,1,"hierarchical"
180,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.04.mp4",0,1112,1120,"turn_left",9,1,"hierarchical"
181,"org-3-uploads-stage.study_426.cage_4476.2025-07-26.23.44.mp4",0,290,310,"turn_left",21,1,"hierarchical"
182,"org-3-uploads-stage.study_410.cage_4482.2025-08-05.11.18.mp4",0,1554,1568,"turn_left",15,1,"hierarchical"
183,"org-3-uploads-stage.study_410.cage_4482.2025-08-05.11.18.mp4",2,772,792,"turn_left",21,1,"hierarchical"
184,"org-3-uploads-stage.study_410.cage_4482.2025-08-05.11.18.mp4",2,1517,1537,"turn_left",21,1,"hierarchical"
185,"org-3-uploads-stage.study_426.cage_4471.2025-07-10.01.56.mp4",0,798,818,"turn_left",21,1,"hierarchical"
186,"org-3-uploads-stage.study_410.cage_4487.2025-08-13.16.39.mp4",2,921,931,"turn_left",11,1,"hierarchical"
187,"org-3-uploads-stage.study_410.cage_4487.2025-08-13.16.39.mp4",2,963,974,"turn_left",12,1,"hierarchical"
188,"org-3-uploads-stage.study_410.cage_4487.2025-08-13.16.39.mp4",2,986,996,"turn_left",11,1,"hierarchical"
189,"org-3-uploads-stage.study_410.cage_4482.2025-07-16.07.13.mp4",0,175,185,"turn_left",11,1,"hierarchical"
190,"org-3-uploads-stage.study_410.cage_4482.2025-07-16.07.13.mp4",1,1549,1569,"turn_left",21,1,"hierarchical"
191,"org-3-uploads-stage.study_470.cage_5032.2025-09-10.06.02.mp4",1,1571,1591,"turn_left",21,1,"hierarchical"
192,"org-3-uploads-stage.study_460.cage_4986.2025-09-04.04.04.mp4",1,1284,1305,"turn_left",22,1,"hierarchical"
193,"org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4",0,298,311,"turn_left",14,1,"hierarchical"
194,"org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4",0,458,488,"turn_left",31,1,"hierarchical"
195,"org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4",0,570,600,"turn_left",31,1,"hierarchical"
196,"org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4",0,623,643,"turn_left",21,1,"hierarchical"
197,"org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4",1,331,341,"turn_left",11,1,"hierarchical"
198,"org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4",1,822,832,"turn_left",11,1,"hierarchical"
199,"org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4",2,283,309,"turn_left",27,1,"hierarchical"
200,"org-3-prod.study_443.cage_4823.2025-08-11.23.07.mp4",1,241,264,"turn_left",24,3,"hierarchical"
201,"org-3-prod.study_443.cage_4823.2025-08-11.23.07.mp4",1,654,666,"turn_left",13,3,"hierarchical"
203,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.59.mp4",1,400,410,"turn_left",11,1,"hierarchical"
204,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.59.mp4",1,543,556,"turn_left",14,1,"hierarchical"
205,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.59.mp4",1,864,872,"turn_left",9,1,"hierarchical"
206,"org-3-prod.study_443.cage_4823.2025-08-11.23.11.mp4",0,1770,1783,"turn_left",14,3,"hierarchical"
207,"org-3-prod.study_443.cage_4823.2025-08-11.23.11.mp4",2,672,692,"turn_left",21,2,"hierarchical"
208,"org-3-uploads-stage.study_447.cage_4840.2025-08-27.04.25.mp4",0,181,201,"turn_left",21,1,"hierarchical"
209,"org-3-uploads-stage.study_447.cage_4840.2025-08-27.04.25.mp4",0,538,550,"turn_left",13,1,"hierarchical"
210,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.58.mp4",1,1138,1178,"turn_left",41,1,"hierarchical"
211,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.58.mp4",1,1569,1583,"turn_left",15,1,"hierarchical"
212,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.58.mp4",1,1645,1660,"turn_left",16,1,"hierarchical"
213,"org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4",2,697,717,"turn_left",21,1,"hierarchical"
214,"org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4",2,741,761,"turn_left",21,1,"hierarchical"
215,"org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4",2,1083,1103,"turn_left",21,1,"hierarchical"
216,"org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4",2,1227,1250,"turn_left",24,1,"hierarchical"
217,"org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4",2,1677,1697,"turn_left",21,1,"hierarchical"
218,"org-3-prod.study_443.cage_4823.2025-08-11.23.10.mp4",0,109,139,"turn_left",31,2,"hierarchical"
220,"org-3-prod.study_443.cage_4823.2025-08-11.23.10.mp4",0,1685,1712,"turn_left",28,3,"hierarchical"
221,"org-3-uploads-stage.study_410.cage_4486.2025-08-02.08.55.mp4",2,73,93,"turn_left",21,1,"hierarchical"
222,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4",0,945,995,"turn_left",51,1,"hierarchical"
223,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4",0,1003,1023,"turn_left",21,1,"hierarchical"
224,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4",2,922,962,"turn_left",41,1,"hierarchical"
225,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4",2,974,994,"turn_left",21,1,"hierarchical"
226,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.02.mp4",2,1051,1070,"turn_left",20,1,"hierarchical"
227,"org-3-uploads-stage.study_448.cage_4868.2025-10-10.03.46.mp4",1,776,806,"turn_left",31,1,"hierarchical"
228,"org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4",1,170,200,"turn_left",31,1,"hierarchical"
229,"org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4",2,740,785,"turn_left",46,1,"hierarchical"
230,"org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4",2,1026,1045,"turn_left",20,1,"hierarchical"
231,"org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4",2,1050,1071,"turn_left",22,1,"hierarchical"
232,"org-3-uploads-stage.study_450.cage_4907.2025-08-20.00.11.mp4",0,540,560,"turn_left",21,1,"hierarchical"
233,"org-3-uploads-stage.study_450.cage_4907.2025-08-20.00.11.mp4",0,599,629,"turn_left",31,1,"hierarchical"
234,"org-3-uploads-stage.study_428.cage_4507.2025-07-13.05.44.mp4",2,12,32,"turn_left",21,1,"hierarchical"
235,"org-3-uploads-stage.study_428.cage_4507.2025-07-13.05.44.mp4",2,66,76,"turn_left",11,1,"hierarchical"
236,"org-3-uploads-stage.study_428.cage_4507.2025-07-13.05.44.mp4",2,922,932,"turn_left",11,1,"hierarchical"
237,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",0,1426,1451,"turn_left",26,1,"hierarchical"
238,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",2,136,156,"turn_left",21,1,"hierarchical"
239,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",2,185,199,"turn_left",15,1,"hierarchical"
240,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",2,383,403,"turn_left",21,1,"hierarchical"
241,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",2,406,426,"turn_left",21,1,"hierarchical"
242,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",2,449,469,"turn_left",21,1,"hierarchical"
